TCS, Main , Side_1_Route ,Activation_Date,Latitude,Longitude,Count_Date,eight_Peak_Hr_Vehicle_Volume,eight_Peak_Hr_Pedestrian_Volume
80, UNIVERSITY AVE , QUEEN ST W ,05/15/1932,43.6508270000,-79.3866280000,09-17-2016,23078,10824
81, UNIVERSITY AVE , DUNDAS ST W ,06/28/1928,43.6548120000,-79.3884840000,11-10-2016,30191,28927
82, UNIVERSITY AVE , ELM ST ,06/17/1958,43.6563230000,-79.3889590000,11-10-2016,26595,17276
83, UNIVERSITY AVE , COLLEGE ST ,06/28/1928,43.6598474000,-79.3904900000,01-21-2017,20732,12177
84, QUEENS PARK CRES E , WELLESLEY ST W ,07/26/1950,43.6636098000,-79.3906260000,11-09-2016,15472,5941
85, QUEENS PARK CRES E , ST JOSEPH ST ,11/24/1947,43.6659353000,-79.3918790000,12-08-2009,12427,1217
86, AVENUE RD , BLOOR ST W ,07/21/1928,43.6686850000,-79.3941190000,01-11-2018,24059,14885
87, EGLINTON AVE E , BRENTCLIFFE RD ,07/04/1966,43.7145838000,-79.3597910000,03-16-2011,26029,1107
88, EGLINTON AVE E , LAIRD DR ,01/31/1958,43.7135730000,-79.3647520000,04-22-2017,19362,2018
89, EGLINTON AVE E , RUMSEY RD ,12/29/1958,43.7125627000,-79.3696060000,03-21-2012,18995,716
90, EGLINTON AVE E , BAYVIEW AVE ,03/21/1960,43.7110560000,-79.3771140000,03-29-2012,30378,2880
91, EGLINTON AVE E , BANFF RD ,08/10/1953,43.7100093000,-79.3822210000,07-28-2010,16885,841
92, MOUNT PLEASANT RD , EGLINTON AVE E ,06/29/1939,43.7084166000,-79.3901530000,01-09-2017,20734,6602
93, EGLINTON AVE E , REDPATH AVE ,05/30/1961,43.7078669000,-79.3927900000,08-25-2009,14372,6034
94, EGLINTON AVE W , DUPLEX AVE ,10/04/1953,43.7063458000,-79.4002520000,10-29-2012,15743,1967
95, EGLINTON AVE W , ORIOLE PKWY ,12/24/1954,43.7051068000,-79.4061250000,10-29-2012,13295,488
96, AVENUE RD , EGLINTON AVE W ,01/08/1937,43.7046104000,-79.4084740000,10-15-2012,26329,3717
97, EGLINTON AVE W , HEDDINGTON AVE ,12/20/1952,43.7034761000,-79.4138800000,04-18-2011,14096,2607
98, EGLINTON AVE W , CHAPLIN CRES ,01/01/1967,43.7027131000,-79.4174440000,10-15-2012,19751,1037
99, EGLINTON AVE W , SPADINA RD ,08/09/1976,43.7023611000,-79.4190810000,10-29-2012,20620,416
100, BATHURST ST , EGLINTON AVE W ,01/01/1967,43.7009757000,-79.4255340000,04-11-2015,20547,2504
101, EGLINTON AVE W , GLEN CEDAR RD ,07/10/1968,43.6998248000,-79.4309610000,07-09-2013,15770,783
102, EGLINTON AVE W , MARLEE AVE ,02/12/1959,43.6980480000,-79.4393790000,10-30-2012,17430,1355
103, EGLINTON AVE W , OAKWOOD AVE ,01/31/1958,43.6972932000,-79.4427890000,10-29-2012,17171,3006
104, EGLINTON AVE W , NORTHCLIFFE BLVD ,01/31/1958,43.6962420000,-79.4476880000,01-10-2018,7308,2900
105, DUFFERIN ST , EGLINTON AVE W ,11/13/1963,43.6956840000,-79.4502930000,04-18-2016,22212,8427
106, EGLINTON AVE W , ENNERDALE RD ,01/31/1958,43.6949850000,-79.4534760000,03-21-2012,9802,3069
107, AVENUE RD , ELGIN AVE ,12/09/1989,43.6721360000,-79.3956240000,10-18-2016,14811,2673
108, AVENUE RD , DAVENPORT RD ,11/03/1932,43.6747050000,-79.3966510000,11-10-2016,31510,4661
109, AVENUE RD , DUPONT ST ,07/25/1950,43.6771900000,-79.3975790000,08-04-2010,16518,642
110, AVENUE RD , COTTINGHAM ST ,11/19/1948,43.6795475000,-79.3985500000,01-24-2012,18929,662
111, AVENUE RD , BALMORAL AVE ,03/02/1953,43.6843241000,-79.4004950000,11-02-2015,23332,1605
112, ST CLAIR AVE W , AVENUE RD ,08/26/1929,43.6866240000,-79.4014790000,04-18-2016,29303,4696
113, AVENUE RD , LONSDALE RD ,01/17/1964,43.6907730000,-79.4030270000,04-16-2016,19162,807
114, ORIOLE PKWY , GORMLEY AVE ,01/28/1957,43.6937297000,-79.4018520000,04-13-2016,19054,195
115, ORIOLE PKWY , CHAPLIN CRES ,07/28/1950,43.6978798000,-79.4032310000,04-18-2016,14555,716
116, AVENUE RD , CHAPLIN CRES ,09/12/1948,43.6987610000,-79.4060760000,04-11-2012,19127,601
117, AVENUE RD , ST CLEMENTS AVE ,06/20/1946,43.7103330000,-79.4111190000,01-15-2013,18012,970
118, AVENUE RD , GLENGROVE AVE W ,09/24/1948,43.7169600000,-79.4134440000,04-06-2017,22274,416
119, AVENUE RD , LAWRENCE AVE W ,01/31/1958,43.7222401000,-79.4155890000,09-04-2013,27712,2674
120, AVENUE RD , FAIRLAWN AVE ,01/31/1958,43.7279000000,-79.4178940000,01-23-2012,20920,1089
121, AVENUE RD , BROOKE AVE ,01/31/1958,43.7332000000,-79.4195100000,01-19-2010,22365,1366
122, AVENUE RD , DUNBLAINE AVE ,07/18/1957,43.7359103000,-79.4201000000,12-14-2010,16556,638
123, AVENUE RD , WILSON AVE ,01/31/1958,43.7398627000,-79.4216360000,09-04-2013,33867,1383
124, YONGE ST , YORK MILLS RD ,01/31/1958,43.7441210000,-79.4067240000,05-26-2010,38102,1068
125, YONGE ST , SHEPPARD AVE ,01/31/1958,43.7615144000,-79.4109030000,05-18-2016,38219,12257
126, YONGE ST , EMPRESS AVE ,01/29/1959,43.7692945000,-79.4129310000,05-18-2016,21274,11387
127, YONGE ST , CHURCH AVE ,07/27/1960,43.7737980000,-79.4140340000,05-18-2016,20746,5164
128, YONGE ST , FINCH AVE ,01/31/1958,43.7797900000,-79.4155600000,05-07-2014,29978,13027
129, YONGE ST , CUMMER AVE ,01/31/1958,43.7870804000,-79.4173270000,09-27-2016,28482,2794
130, YONGE ST , MADAWASKA AVE ,01/31/1958,43.7938145000,-79.4189910000,05-07-2014,25570,1461
131, YONGE ST , STEELES AVE ,01/31/1958,43.7980490000,-79.4200640000,10-08-2013,42005,6483
132, MOUNT PLEASANT RD , ELM AVE ,02/06/1950,43.6745775000,-79.3801610000,11-01-2016,15595,1057
133, MOUNT PLEASANT RD , INGLEWOOD DR ,05/19/1950,43.6883196000,-79.3835420000,01-17-2017,16844,493
134, MOUNT PLEASANT RD , ST CLAIR AVE E ,05/23/1950,43.6903740000,-79.3832880000,01-14-2017,16436,366
135, MOUNT PLEASANT RD , MOORE AVE ,02/15/1957,43.6936038000,-79.3846212000,01-14-2017,14138,237
136, MOUNT PLEASANT RD , MERTON ST ,09/12/1948,43.6982046000,-79.3864480000,01-17-2017,19066,744
137, MOUNT PLEASANT RD , DAVISVILLE AVE ,09/28/1948,43.7003222000,-79.3869370000,01-09-2017,20037,2463
138, MOUNT PLEASANT RD , MANOR RD E ,02/17/1957,43.7043099000,-79.3885240000,03-04-2013,16260,1698
139, MOUNT PLEASANT RD , BROADWAY AVE ,02/16/1953,43.7111290000,-79.3911810000,01-09-2017,16019,1976
140, MOUNT PLEASANT RD , BLYTHWOOD RD ,08/22/1948,43.7178824000,-79.3941310000,01-19-2017,17509,381
141, MOUNT PLEASANT RD , ST LEONARDS AVE ,08/14/1966,43.7223099000,-79.3956940000,01-19-2017,11213,186
142, MOUNT PLEASANT RD , LAWRENCE AVE E ,02/23/1953,43.7262370400,-79.3967905600,01-16-2017,16832,290
143, KINGSTON RD , MORNINGSIDE AVE ,03/23/1962,43.7706040000,-79.1868840000,02-27-2016,25440,2070
144, KINGSTON RD , LAWRENCE AVE E ,01/21/1960,43.7676558000,-79.1895550000,04-20-2016,32159,2590
145, KINGSTON RD , GALLOWAY RD ,01/31/1958,43.7621101000,-79.1947327000,10-22-2014,23952,850
146, KINGSTON RD , GUILDWOOD PKWY ,12/11/1962,43.7496490000,-79.2059920000,03-25-2010,24763,258
147, KINGSTON RD , EGLINTON AVE E ,05/04/1956,43.7437557000,-79.2116510000,10-22-2014,26434,306
148, KINGSTON RD , MARKHAM RD ,10/31/1960,43.7388170000,-79.2170420000,10-22-2014,21905,652
149, KINGSTON RD , MCCOWAN RD ,12/02/1964,43.7251130000,-79.2324520000,10-15-2009,29118,1137
150, KINGSTON RD , ST CLAIR AVE E ,01/12/1958,43.7218580000,-79.2362150000,12-14-2016,22911,604
151, KINGSTON RD , MIDLAND AVE ,01/01/1957,43.7111110000,-79.2481960000,06-24-2010,21013,1644
152, KINGSTON RD , SANDOWN AVE ,01/21/1963,43.7087694000,-79.2497590000,12-03-2009,22525,701
153, KINGSTON RD , CLAREMORE AVE ,01/31/1958,43.7039310000,-79.2527750000,12-07-2009,20066,394
154, KINGSTON RD , BIRCHMOUNT RD ,06/23/1961,43.6930141000,-79.2623260000,04-22-2017,13485,286
155, KINGSTON RD , BIRCHCLIFF AVE ,01/31/1958,43.6914690000,-79.2647620000,11-11-2015,10312,559
156, KINGSTON RD , WARDEN AVE ,01/31/1958,43.6877698000,-79.2709280000,04-22-2017,14473,700
157, KINGSTON RD , FALLINGBROOK RD ,01/31/1958,43.6822709000,-79.2792190000,11-11-2015,12928,895
158, KINGSTON RD , VICTORIA PARK AVE ,12/15/1948,43.6808074000,-79.2840410000,04-22-2017,14869,2506
159, KINGSTON RD , BEECH AVE ,05/03/1953,43.6802604000,-79.2907000000,12-13-2016,11564,821
160, KINGSTON RD , MAIN ST ,12/15/1948,43.6789030000,-79.2980100000,04-22-2017,16657,1640
161, KINGSTON RD , WAVERLEY RD ,03/01/1957,43.6769500000,-79.3041040000,11-11-2015,12652,778
162, KINGSTON RD , WOODBINE AVE ,06/09/1929,43.6739400000,-79.3079020000,04-22-2017,23556,954
163, KINGSTON RD , DUNDAS ST E ,03/03/1953,43.6699510000,-79.3111690000,04-22-2017,11441,1020
164, KINGSTON RD , BRIMLEY RD ,05/11/1964,43.7182390000,-79.2403720000,06-28-2010,21729,790
165, CHURCH ST , PARK RD ,08/08/1966,43.6722190000,-79.3847880000,11-08-2016,10903,2212
166, UNIVERSITY AVE , ARMOURY ST ,09/17/1965,43.6530990000,-79.3875850000,11-10-2016,23658,7660
167, BAYVIEW AVE , NESBITT DR ,12/17/1959,43.6941040000,-79.3662840000,05-19-2016,18084,52
168, QUEEN ST E , COXWELL AVE ,10/15/1948,43.6663450000,-79.3165580000,05-07-2016,9821,2920
169, BAYVIEW AVE , MOORE AVE ,03/15/1960,43.6967298000,-79.3717320000,01-17-2018,22923,753
170, BAYVIEW AVE , MCRAE DR ,07/27/1962,43.7009600000,-79.3733240000,12-14-2010,20257,982
171, BAYVIEW AVE , MILLWOOD RD ,03/21/1960,43.7042575000,-79.3745870000,12-07-2010,18168,2599
172, BAYVIEW AVE , MANOR RD E ,09/26/1958,43.7069178000,-79.3756170000,06-14-2016,13751,2011
173, AVENUE RD , EDMUND AVE ,08/16/1965,43.6825716000,-79.3997600000,01-22-2014,21764,702
174, QUEEN ST E , RIVER ST ,04/11/1954,43.6574000000,-79.3565400000,05-22-2014,8869,1047
175, RIVER ST , SHUTER ST ,07/01/1957,43.6595020000,-79.3574450000,06-16-2008,6776,718
176, GERRARD ST E , RIVER ST ,06/15/1954,43.6636874000,-79.3592300000,08-03-2016,12274,1068
177, BAYVIEW AVE , RIVER ST ,09/30/1959,43.6658819000,-79.3573650000,01-19-2011,11198,103
178, DANFORTH AVE , SIBLEY AVE ,04/09/1964,43.6902727000,-79.2926750000,01-09-2014,11764,1530
179, BAYVIEW AVE , BROADWAY AVE ,05/10/1961,43.7139000000,-79.3775890000,07-08-2017,16962,1133
180, DUNDAS ST W , OSSINGTON AVE ,04/09/1929,43.6493419000,-79.4207800000,04-11-2015,11860,7315
181, DUNDAS ST W , LANSDOWNE AVE ,10/14/1948,43.6501405000,-79.4397140000,04-11-2015,13572,2756
182, DUNDAS ST W , DOVERCOURT RD ,05/16/1955,43.6494457000,-79.4247380000,03-20-2012,14775,3301
183, DUNDAS ST W , BROCK AVE ,12/17/1952,43.6498834000,-79.4355980000,04-08-2015,10205,2094
184, YORKLAND RD , HERONS HILL WAY ,06/25/1981,43.7744125000,-79.3371320000,07-16-2012,9900,840
185, JANE ST , DUNDAS ST W ,01/31/1958,43.6656930000,-79.4911750000,05-07-2016,23158,1243
186, DUNDAS ST W , RUNNYMEDE RD ,10/22/1948,43.6655840000,-79.4821040000,05-07-2016,18021,1280
187, DUNDAS ST W , PACIFIC AVE ,09/29/1961,43.6654376000,-79.4685760000,05-10-2016,9675,2789
188, DUNDAS ST W , KEELE ST ,04/07/1928,43.6653881000,-79.4645610000,05-07-2016,19464,4643
189, BAYVIEW AVE , POST RD ,01/13/1978,43.7340769000,-79.3814190000,05-10-2011,27993,564
190, DUFFERIN ST , DUNDAS ST W ,11/17/1948,43.6496233000,-79.4314380000,04-11-2015,14442,5244
191, EGLINTON AVE E , BELLAMY RD N ,05/18/1965,43.7402450000,-79.2320440000,03-28-2012,15975,1508
192, EGLINTON AVE E , MCCOWAN RD ,10/28/1966,43.7388424000,-79.2384050000,03-01-2012,18352,987
193, BAY ST , GROSVENOR ST ,11/21/1966,43.6625165000,-79.3863700000,07-28-2010,11998,6448
194, ST CLAIR AVE W , EARLSCOURT AVE ,11/17/1966,43.6769820000,-79.4474230000,08-09-2010,7138,1178
195, DIXON RD , CITY VIEW DR ,12/12/1966,43.6902252000,-79.5770323300,11-29-2016,21314,484
196, DUNDAS ST W , BATHURST ST ,08/27/1953,43.6522960000,-79.4060150000,04-11-2015,15414,10194
197, GERRARD ST E , SACKVILLE ST ,10/07/1961,43.6625970000,-79.3640030000,07-22-2009,9592,2707
198, SIMCOE ST , ADELAIDE ST W ,05/13/1960,43.6486354000,-79.3865580000,08-31-2015,7279,6248
199, KING ST W , SIMCOE ST ,05/13/1960,43.6473710000,-79.3860500000,05-17-2017,8437,25628
200, BAYVIEW AVE , BLYTHWOOD RD ,01/31/1958,43.7209801000,-79.3789260000,03-23-2011,24828,765
201, KING ST W , BATHURST ST ,06/15/1928,43.6439040000,-79.4026700000,09-17-2016,15478,7878
202, VICTORIA PARK AVE , CRAIGTON DR ,09/08/1984,43.7267120000,-79.3034850000,01-26-2011,23584,1515
203, LAKE SHORE BLVD E , LOWER SHERBOURNE ST ,02/26/1953,43.6463030000,-79.3662950000,09-07-2017,13327,952
204, HARBOUR ST , YORK ST ,01/01/1962,43.6410060000,-79.3807050000,04-21-2009,13737,2168
205, LAKE SHORE BLVD W , YORK ST ,01/01/1958,43.6416093000,-79.3809530000,08-21-2012,24814,7285
206, LAKE SHORE BLVD E , LESLIE ST ,12/14/1955,43.6591090000,-79.3283730000,05-27-2013,27371,764
207, LAKE SHORE BLVD E , CARLAW AVE ,06/20/1966,43.6550810000,-79.3375190000,10-15-2012,31363,624
208, LAKE SHORE BLVD E , DON ROADWAY ,11/22/1963,43.6510701000,-79.3469730000,05-27-2013,10974,41
209, LAKE SHORE BLVD E , PARLIAMENT ST ,10/24/1950,43.6477572000,-79.3612710000,08-16-2012,15771,601
210, LAKE SHORE BLVD E , LOWER JARVIS ST ,05/05/1950,43.6455010000,-79.3697940000,08-25-2012,22735,1895
211, YONGE ST , LAKE SHORE BLVD W ,03/15/1932,43.6441970000,-79.3758602000,09-08-2012,10520,2020
212, LAKE SHORE BLVD W , BAY ST ,03/14/1932,43.6431700000,-79.3779100000,08-22-2012,17008,13149
213, BAY ST , HARBOUR ST ,03/14/1932,43.6421004000,-79.3774440000,06-09-2009,18261,7776
214, ADELAIDE ST E , PARLIAMENT ST ,06/11/1964,43.6535620000,-79.3635810000,07-29-2010,9398,685
215, LAKE SHORE BLVD W , SPADINA AVE ,09/12/1948,43.6384740000,-79.3921960000,10-06-2012,24526,854
216, LAKE SHORE BLVD W , FLEET ST ,04/13/1942,43.6364440000,-79.3996070000,05-27-2013,26327,2277
217, EGLINTON AVE E , FALMOUTH AVE ,08/23/1966,43.7355940000,-79.2532010000,03-28-2012,20253,1345
218, LAKE SHORE BLVD W , BURLINGTON ST ,05/24/1967,43.6172919000,-79.4872990000,11-25-2015,8502,1159
219, CHAPLIN CRES , ROSELAWN AVE ,01/01/1967,43.7056982000,-79.4239360000,06-08-2015,8121,751
220, EGLINTON AVE E , FORMAN AVE ,08/09/1966,43.7092057000,-79.3861960000,05-24-2011,14649,872
221, LAKE SHORE BLVD W , STADIUM RD ,11/17/1948,43.6358660000,-79.4018930000,05-26-2011,21335,717
222, LAKE SHORE BLVD W , STRACHAN AVE ,07/04/1961,43.6344990000,-79.4087210000,01-24-2018,25571,163
223, RICHMOND ST E , PARLIAMENT ST ,06/11/1964,43.6545488000,-79.3639980000,03-12-2012,14745,1642
224, LAKE SHORE BLVD W , JAMESON AVE ,01/10/1947,43.6333865000,-79.4345860000,10-03-2017,10490,252
225, CHURCH ST , CHARLES ST E ,05/17/1974,43.6694267000,-79.3824760000,07-28-2011,10905,3660
226, LAKE SHORE BLVD W , PARKSIDE DR ,03/01/1949,43.6383620000,-79.4535300000,08-13-2013,30083,301
227, QUEENS PARK , QUEENS PARK CRES W ,12/28/1973,43.6660594500,-79.3931776300,11-10-2016,18591,4063
228, LAKE SHORE BLVD W , ELLIS AVE ,04/15/1957,43.6362217000,-79.4652710000,10-04-2016,34804,176
229, LAKE SHORE BLVD W , WINDERMERE AVE ,12/04/1955,43.6350790000,-79.4680760000,10-04-2016,37009,263
230, LAKE SHORE BLVD W , PARK LAWN RD ,01/31/1958,43.6230054700,-79.4811433600,10-06-2016,18994,1636
231, LAKE SHORE BLVD W , SUPERIOR AVE ,01/31/1958,43.6149403000,-79.4886120000,11-25-2015,8705,2785
232, LAKE SHORE BLVD W , MIMICO AVE ,01/31/1958,43.6137120000,-79.4892870000,11-25-2015,7610,2022
233, LAKE SHORE BLVD W , ROYAL YORK RD ,01/01/1960,43.6036287000,-79.4931090000,06-11-2016,7179,400
234, LAKE SHORE BLVD W , THIRD ST ,01/31/1958,43.6017233000,-79.5007250000,11-12-2015,7960,1409
235, JANE ST , 400 S JANE ST RAMP ,06/07/1981,43.7110407800,-79.5059698800,06-16-2011,26623,186
236, LAKE SHORE BLVD W , TENTH ST ,01/31/1958,43.6000063000,-79.5086040000,02-19-2014,7847,1503
237, LAKE SHORE BLVD W , KIPLING AVE ,01/01/1957,43.5981581000,-79.5169360000,05-14-2016,16881,1076
238, LAKE SHORE BLVD W , TWENTY SECOND ST ,01/31/1958,43.5972121000,-79.5212810000,01-29-2014,15944,2967
239, LAKE SHORE BLVD W , THIRTIETH ST ,01/31/1958,43.5953296000,-79.5296733000,02-18-2014,11260,638
240, LAKE SHORE BLVD W , LONG BRANCH AVE ,01/31/1958,43.5943391000,-79.5339320000,04-25-2016,11202,786
241, LAKE SHORE BLVD W , THIRTY SEVENTH ST ,01/31/1958,43.5933820000,-79.5380920000,11-12-2015,13675,1763
242, LAKE SHORE BLVD W , BROWNS LINE ,02/23/1960,43.5923547400,-79.5425847200,06-11-2016,12072,987
243, LAKE SHORE BLVD W , BROW DR ,01/31/1958,43.5916864800,-79.5438212200,11-12-2015,10946,280
